s0,79,64,94
c334,26,37,10,32
c346,22,37,8,32
c347,12,37,9,32
c348,20,37,39,32
c359,3,37,24,32
c360,22,37,24,32
c371,16,37,15,32
c373,22,37,6,32
c374,25,37,29,32
c375,9,37,24,32
c376,31,37,28,32
c395,19,37,37,32
c398,21,37,14,32
c403,6,37,14,32
c417,29,37,29,32
c418,8,37,38,32
c421,39,37,34,32
c427,4,37,15,32
c431,30,37,39,32
s5,76,84,88
c459,11,37,32,32
c476,12,37,9,32
c480,40,37,22,32
c485,30,37,30,32
c487,31,37,23,32
c515,1,37,25,32
c516,37,37,9,32
c519,16,37,17,32
c523,21,37,31,32
c528,36,37,10,32
c533,9,37,24,32
c542,23,37,24,32
c545,8,37,29,32
c546,39,37,24,32
c558,21,37,23,32
c568,29,37,2,32
c573,4,37,29,32
c574,33,37,27,32
c575,15,37,23,32
c580,27,37,20,32
c588,38,37,4,32
c601,19,37,36,32
c620,16,37,14,32
c634,11,37,27,32
c646,23,37,38,32
c649,37,37,25,32
c650,9,37,32,32
c657,35,37,2,32
c662,10,37,2,32
c665,32,37,23,32
c676,16,37,20,32
c686,17,37,29,32
c689,26,37,7,32
c690,27,37,26,32
c717,33,37,31,32
c721,36,37,5,32
c726,19,37,20,32
c736,24,37,8,32
c737,4,37,24,32
c741,17,37,35,32
c744,31,37,18,32
c745,36,37,16,32
c747,40,37,16,32
c748,10,37,20,32
c780,36,37,22,32
c783,18,37,21,32
c786,20,37,5,32
c790,24,37,21,32
c802,8,37,23,32
c809,20,37,9,32
c832,1,37,14,32
c844,7,37,29,32
c845,29,37,32,32
c854,9,37,23,32
c858,35,37,9,32
c866,38,37,5,32
c869,5,37,18,32
c917,13,37,17,32
c922,6,37,3,32
c923,19,37,17,32
c926,6,37,19,32
c935,17,37,30,32
c938,33,37,31,32
c945,33,37,35,32
c949,12,37,31,32
c965,9,37,22,32
c978,1,37,27,32
c987,6,37,17,32
c992,20,37,10,32
c994,31,37,18,32
c16,36,37,35,35
c17,2,37,12,35
c23,21,37,28,35
s4,77,78,65
c30,4,37,11,35
c41,14,37,39,35
c45,36,37,16,35
c51,21,37,27,35
c54,20,37,28,35
c57,9,37,21,35
c62,5,37,34,35
c76,10,37,17,35
c79,17,37,7,35
c80,19,37,28,35
c84,29,37,9,35
c91,33,37,2,35
c100,2,37,4,35
c104,2,37,24,35
c110,24,37,4,35
c111,1,37,28,35
c132,27,37,19,35
c135,14,37,19,35
c140,12,37,15,35
c144,35,37,15,35
c145,23,37,8,35
c155,38,37,37,35
c166,34,37,27,35
c171,38,37,37,35
c197,22,37,37,35
c202,20,37,34,35
c214,7,37,30,35
c217,34,37,33,35
c219,26,37,29,35
c229,24,37,32,35
c253,4,37,5,35
c261,35,37,14,35
c265,25,37,37,35
c267,5,37,6,35
c279,1,37,25,35
c290,12,37,9,35
c300,29,37,21,35
c320,11,37,31,35
c321,38,37,39,35
c328,2,37,29,35
c329,13,37,1,35
c333,23,37,30,35
c342,8,37,36,35
c370,26,37,20,35
c377,29,37,19,35
c380,33,37,2,35
c382,14,37,26,35
c394,28,37,15,35
c415,24,37,16,35
c416,8,37,7,35
c419,24,37,6,35
c423,32,37,18,35
c439,7,37,14,35
c442,37,37,36,35
c443,23,37,1,35
c446,31,37,17,35
c454,38,37,23,35
c465,38,37,17,35
c484,26,37,3,35
c486,32,37,33,35
c499,19,37,38,35
c500,9,37,19,35
c508,3,37,27,35
c529,2,37,31,35
c541,33,37,31,35
c543,34,37,27,35
c549,34,37,38,35
c554,38,37,2,35
c571,19,37,7,35
c582,19,37,29,35
c592,21,37,24,35
c598,9,37,1,35
c605,25,37,26,35
c612,7,37,15,35
c616,1,37,23,35
c617,35,37,36,35
c625,30,37,3,35
c628,18,37,1,35
c631,33,37,19,35
c652,9,37,19,35
c653,22,37,31,35
c659,24,37,19,35
c667,39,37,39,35
c672,34,37,8,35
c696,25,37,37,35
c697,31,37,30,35
c701,9,37,15,35
c710,37,37,10,35
c714,2,37,35,35
c743,37,37,18,35
c750,38,37,7,35
c755,21,37,24,35
c765,36,37,22,35
c766,37,37,18,35
c769,14,37,19,35
c785,22,37,33,35
c789,8,37,33,35
c793,25,37,24,35
c797,36,37,26,35
c807,9,37,34,35
c813,25,37,1,35
c816,30,37,31,35
c829,32,37,30,35
c850,32,37,33,35
c853,37,37,8,35
c856,19,37,22,35
c871,10,37,38,35
c877,2,37,34,35
c882,32,37,10,35
c887,1,37,34,35
c888,8,37,8,35
c891,29,37,7,35
c892,16,37,13,35
c909,13,37,16,35
c925,12,37,11,35
c931,40,37,4,35
c934,2,37,33,35
c961,12,37,12,35
c962,6,37,20,35
c968,21,37,10,35
c969,19,37,22,35
c982,1,37,13,35
c988,29,37,8,35
c991,39,37,21,35
c996,24,37,13,35
c1,23,37,10,54
c5,30,37,19,54
c12,8,37,21,54
c13,22,37,4,54
c22,15,37,29,54
c32,8,37,28,54
c49,30,37,23,54
c53,7,37,35,54
c55,32,37,36,54
c68,21,37,20,54
c77,7,37,34,54
c78,40,37,19,54
c101,8,37,29,54
c105,31,37,9,54
c112,36,37,27,54
c123,18,37,16,54
c131,11,37,37,54
c138,35,37,17,54
c143,25,37,33,54
c146,25,37,11,54
c168,8,37,11,54
c172,1,37,20,54
c188,14,37,4,54
c201,8,37,23,54
c203,28,37,34,54
c224,14,37,9,54
c248,10,37,37,54
c254,4,37,17,54
c259,4,37,37,54
c266,40,37,39,54
c268,18,37,33,54
c271,33,37,19,54
c274,23,37,1,54
c284,16,37,24,54
c296,3,37,11,54
c306,36,37,1,54
c308,39,37,39,54
c310,1,37,7,54
c313,10,37,34,54
c315,30,37,1,54
c316,24,37,10,54
c325,18,37,8,54
c336,25,37,24,54
c344,25,37,33,54
c358,6,37,31,54
c363,40,37,14,54
c364,13,37,40,54
c368,9,37,27,54
c378,16,37,19,54
c381,18,37,5,54
c386,15,37,25,54
c387,26,37,12,54
c388,36,37,32,54
c397,32,37,10,54
c404,23,37,14,54
c405,4,37,9,54
c407,31,37,25,54
c414,24,37,31,54
c422,40,37,25,54
c426,22,37,35,54
s2,52,81,53
c428,2,37,29,54
c432,27,37,38,54
c434,25,37,25,54
c447,36,37,31,54
c453,32,37,6,54
c471,5,37,13,54
c472,5,37,38,54
c473,10,37,31,54
c488,18,37,20,54
c491,19,37,19,54
c495,3,37,15,54
c497,3,37,39,54
c505,26,37,19,54
c506,33,37,3,54
c513,24,37,30,54
c514,1,37,20,54
c518,15,37,25,54
c524,17,37,36,54
c526,1,37,40,54
c547,23,37,8,54
c551,27,37,25,54
c556,23,37,8,54
c559,18,37,29,54
c563,16,37,30,54
c581,32,37,21,54
c599,2,37,8,54
c607,39,37,37,54
c615,21,37,4,54
c618,1,37,26,54
c619,19,37,21,54
s7,86,93,87
c621,28,37,25,54
c632,6,37,5,54
c642,23,37,4,54
c644,32,37,22,54
c663,6,37,7,54
c671,9,37,28,54
c684,33,37,13,54
c685,15,37,39,54
c706,23,37,25,54
c724,16,37,38,54
c739,2,37,17,54
c749,6,37,21,54
c764,22,37,22,54
c773,21,37,23,54
c777,5,37,5,54
c779,5,37,32,54
c791,4,37,40,54
c799,32,37,33,54
c803,2,37,3,54
c805,26,37,5,54
c819,26,37,29,54
c823,35,37,1,54
c825,25,37,30,54
c827,37,37,27,54
c828,38,37,11,54
c836,16,37,1,54
s9,61,60,62
c839,37,37,30,54
c840,6,37,21,54
c842,12,37,24,54
s3,100,75,58
c848,18,37,33,54
c857,3,37,29,54
c863,27,37,2,54
c872,39,37,35,54
c875,22,37,12,54
c876,17,37,2,54
c883,37,37,21,54
c886,30,37,2,54
c889,14,37,8,54
c897,15,37,17,54
c900,5,37,10,54
c903,40,37,1,54
c905,10,37,18,54
c908,12,37,20,54
c910,33,37,2,54
c916,7,37,31,54
c929,35,37,39,54
c936,11,37,10,54
c941,18,37,17,54
c943,17,37,37,54
c944,14,37,34,54
c947,5,37,13,54
c952,20,37,28,54
c960,9,37,31,54
c967,32,37,16,54
c973,40,37,20,54
c979,11,37,21,54
c997,24,37,28,54
c998,9,37,5,54
c0,11,37,23,61
c4,22,37,2,61
c6,34,37,4,61
c14,13,37,35,61
c19,35,37,7,61
c21,25,37,24,61
c47,36,37,39,61
c52,1,37,17,61
c56,13,37,26,61
c61,27,37,16,61
c63,20,37,20,61
c72,23,37,10,61
c89,28,37,19,61
c92,38,37,33,61
c93,24,37,38,61
c107,30,37,2,61
c109,10,37,15,61
c114,40,37,33,61
c115,28,37,24,61
c122,13,37,18,61
c125,9,37,32,61
c128,2,37,39,61
c129,36,37,20,61
c130,28,37,3,61
c136,8,37,7,61
c141,15,37,14,61
c147,9,37,40,61
c153,13,37,4,61
c161,25,37,6,61
c162,12,37,20,61
c167,32,37,3,61
c174,2,37,34,61
c176,16,37,6,61
c185,20,37,22,61
c186,23,37,28,61
c199,21,37,4,61
c205,28,37,40,61
c206,2,37,17,61
c222,30,37,13,61
c225,33,37,27,61
c228,8,37,9,61
c231,30,37,14,61
c232,24,37,20,61
c235,3,37,13,61
c236,10,37,20,61
c239,11,37,36,61
c247,37,37,18,61
c282,1,37,22,61
c285,4,37,36,61
c289,7,37,22,61
c297,26,37,39,61
c298,22,37,23,61
c305,35,37,9,61
c309,12,37,37,61
c317,25,37,16,61
c326,36,37,6,61
c338,1,37,32,61
c351,32,37,6,61
c355,9,37,32,61
c372,13,37,20,61
c383,3,37,14,61
c391,34,37,14,61
c399,15,37,28,61
c401,25,37,37,61
c409,24,37,32,61
c433,17,37,38,61
c436,1,37,38,61
c437,33,37,30,61
c438,29,37,12,61
c450,16,37,29,61
c451,8,37,40,61
c474,39,37,13,61
c477,25,37,3,61
c489,35,37,29,61
c492,7,37,33,61
c494,33,37,1,61
c498,6,37,14,61
c525,2,37,29,61
c538,24,37,40,61
c553,33,37,18,61
c561,29,37,13,61
c564,3,37,5,61
c565,24,37,16,61
c566,33,37,28,61
c572,20,37,14,61
c583,21,37,39,61
c584,35,37,1,61
c591,15,37,40,61
c596,4,37,24,61
c600,5,37,19,61
c603,14,37,26,61
c604,36,37,38,61
c606,4,37,28,61
c609,15,37,13,61
c610,24,37,6,61
c611,36,37,12,61
c624,1,37,2,61
c627,27,37,30,61
c629,21,37,39,61
c641,39,37,14,61
c647,5,37,3,61
c679,13,37,7,61
c680,2,37,28,61
c683,13,37,35,61
c687,38,37,3,61
c694,37,37,35,61
c695,21,37,16,61
c698,6,37,8,61
c704,2,37,18,61
c711,25,37,2,61
c719,28,37,13,61
c725,10,37,23,61
c727,15,37,8,61
c735,27,37,37,61
c757,37,37,24,61
c770,9,37,19,61
c771,6,37,35,61
c772,16,37,18,61
c775,29,37,36,61
c795,6,37,24,61
c811,4,37,23,61
c812,6,37,2,61
c815,12,37,38,61
c838,37,37,17,61
c843,29,37,2,61
c846,6,37,31,61
c847,20,37,2,61
c867,8,37,20,61
c873,17,37,12,61
c881,36,37,31,61
c915,11,37,19,61
c920,30,37,32,61
c927,33,37,29,61
c928,31,37,39,61
c933,38,37,12,61
c939,23,37,14,61
c954,31,37,13,61
c955,36,37,12,61
c959,26,37,39,61
c972,32,37,32,61
c977,20,37,3,61
c981,27,37,4,61
c985,32,37,33,61
c993,7,37,13,61
c995,2,37,30,61
c2,31,37,28,64
c3,21,37,27,64
c11,14,37,14,64
c15,3,37,26,64
c24,8,37,4,64
c26,26,37,38,64
c27,34,37,4,64
c28,40,37,20,64
c39,21,37,7,64
c40,29,37,38,64
c43,30,37,12,64
c46,6,37,11,64
c67,7,37,14,64
c70,32,37,35,64
c85,16,37,17,64
c88,8,37,36,64
c98,31,37,37,64
c99,2,37,23,64
c108,30,37,26,64
c121,3,37,26,64
c133,37,37,35,64
c137,36,37,23,64
c156,4,37,31,64
c157,6,37,32,64
c159,6,37,25,64
c160,38,37,33,64
c164,10,37,8,64
c170,4,37,25,64
c183,17,37,35,64
c189,9,37,24,64
c193,25,37,4,64
c210,17,37,5,64
c226,35,37,20,64
c227,37,37,29,64
c242,1,37,10,64
c243,4,37,35,64
c250,26,37,14,64
c251,10,37,9,64
c252,38,37,9,64
c255,38,37,37,64
c256,26,37,1,64
c263,21,37,40,64
c277,23,37,32,64
c278,36,37,1,64
c281,30,37,10,64
c291,34,37,35,64
c299,21,37,40,64
c340,18,37,24,64
c361,16,37,22,64
c362,20,37,40,64
c365,17,37,21,64
c384,37,37,26,64
c385,32,37,31,64
c390,2,37,20,64
c396,5,37,25,64
c400,26,37,19,64
c406,18,37,16,64
c411,18,37,13,64
c424,35,37,3,64
c425,29,37,17,64
c429,20,37,40,64
c435,23,37,23,64
c440,36,37,39,64
c441,34,37,6,64
c455,21,37,26,64
c456,32,37,35,64
c461,19,37,2,64
c462,35,37,39,64
c468,20,37,22,64
c469,8,37,25,64
c470,24,37,36,64
c475,2,37,8,64
c478,7,37,35,64
c482,24,37,5,64
c496,16,37,20,64
c503,15,37,13,64
c509,23,37,38,64
c512,29,37,32,64
c517,26,37,4,64
c522,7,37,1,64
s6,64,89,68
c532,39,37,4,64
c534,10,37,21,64
c537,30,37,29,64
c539,9,37,16,64
c548,16,37,27,64
c555,29,37,10,64
c570,22,37,3,64
c589,30,37,16,64
c593,1,37,16,64
c594,9,37,2,64
c622,39,37,20,64
c623,15,37,25,64
c633,21,37,36,64
c639,17,37,22,64
c645,36,37,17,64
c654,29,37,29,64
c655,19,37,3,64
c656,26,37,10,64
c660,9,37,37,64
c661,29,37,33,64
c682,28,37,33,64
c700,29,37,20,64
c707,4,37,1,64
c713,15,37,26,64
c715,10,37,25,64
c716,6,37,7,64
c722,8,37,7,64
c723,1,37,33,64
c731,37,37,22,64
c732,18,37,38,64
c734,34,37,18,64
c740,32,37,32,64
c752,26,37,30,64
c762,37,37,3,64
c763,21,37,12,64
c767,19,37,18,64
c776,31,37,20,64
c784,8,37,1,64
c794,4,37,40,64
c796,21,37,37,64
c804,4,37,26,64
c806,22,37,17,64
c810,32,37,36,64
c814,28,37,24,64
c820,3,37,20,64
c821,7,37,22,64
c822,20,37,29,64
c824,9,37,9,64
c830,11,37,16,64
c834,8,37,1,64
c837,7,37,27,64
c852,39,37,12,64
c855,6,37,29,64
c859,22,37,8,64
c860,19,37,30,64
c865,16,37,16,64
c868,15,37,14,64
c870,32,37,3,64
c884,12,37,13,64
c906,33,37,8,64
c921,32,37,38,64
c930,20,37,27,64
c942,13,37,25,64
c946,16,37,13,64
c948,37,37,29,64
c951,24,37,18,64
c953,12,37,35,64
c956,11,37,21,64
c958,17,37,3,64
c964,35,37,7,64
c966,34,37,9,64
c974,32,37,21,64
c976,26,37,26,64
c980,15,37,11,64
c984,24,37,10,64
c989,30,37,11,64
c990,11,37,35,64
c999,36,37,34,64
c8,14,37,4,65
c20,29,37,2,65
c36,39,37,37,65
c58,17,37,17,65
c59,31,37,39,65
c60,23,37,38,65
c64,36,37,26,65
c71,4,37,8,65
c73,5,37,26,65
c75,7,37,24,65
c94,36,37,17,65
c96,21,37,7,65
c103,26,37,38,65
c113,28,37,18,65
c118,24,37,17,65
c119,12,37,1,65
c120,28,37,20,65
c124,13,37,9,65
c134,4,37,28,65
c149,12,37,4,65
c152,24,37,6,65
c154,26,37,5,65
c158,16,37,35,65
c165,13,37,29,65
c177,21,37,18,65
c178,6,37,13,65
c180,30,37,23,65
c181,37,37,34,65
c182,25,37,4,65
c184,1,37,19,65
c187,39,37,9,65
c190,37,37,26,65
c196,25,37,8,65
c204,34,37,32,65
c207,23,37,34,65
c212,5,37,4,65
c218,10,37,30,65
c221,4,37,4,65
c223,4,37,13,65
c230,14,37,33,65
c233,27,37,9,65
c237,27,37,3,65
c238,7,37,27,65
c244,11,37,28,65
c249,35,37,21,65
c258,24,37,9,65
c269,11,37,13,65
c272,25,37,21,65
c273,36,37,17,65
c275,40,37,22,65
c276,22,37,7,65
c286,34,37,24,65
c294,19,37,35,65
c314,31,37,12,65
c318,8,37,18,65
c323,15,37,18,65
c327,39,37,30,65
c330,6,37,21,65
c335,6,37,15,65
c337,17,37,40,65
c341,23,37,16,65
c343,17,37,21,65
c349,19,37,21,65
c350,17,37,2,65
c366,36,37,2,65
c369,3,37,9,65
c379,4,37,22,65
c389,25,37,5,65
c392,15,37,6,65
c413,38,37,36,65
c444,2,37,13,65
c445,24,37,28,65
c452,37,37,35,65
c458,29,37,28,65
c463,18,37,23,65
c464,39,37,12,65
c501,29,37,17,65
c504,23,37,32,65
c510,10,37,28,65
c511,29,37,6,65
c520,27,37,22,65
c527,37,37,4,65
c530,13,37,34,65
c535,17,37,33,65
c536,4,37,34,65
c540,1,37,21,65
c557,38,37,25,65
c560,20,37,25,65
c569,24,37,15,65
c576,35,37,29,65
c579,21,37,19,65
c585,17,37,18,65
c586,39,37,3,65
c587,13,37,5,65
c590,29,37,24,65
c602,35,37,7,65
c608,37,37,11,65
c630,34,37,30,65
c637,11,37,4,65
c651,38,37,35,65
c658,10,37,40,65
c669,35,37,33,65
c674,1,37,32,65
c677,10,37,38,65
c678,6,37,9,65
c681,8,37,22,65
c688,3,37,22,65
c692,18,37,35,65
c693,35,37,11,65
c699,40,37,30,65
c703,17,37,11,65
c712,3,37,5,65
c720,9,37,15,65
c728,9,37,8,65
c733,6,37,13,65
c738,14,37,39,65
c753,31,37,13,65
c756,5,37,7,65
c758,10,37,30,65
c761,8,37,39,65
c774,35,37,6,65
c778,35,37,27,65
c781,39,37,9,65
c782,23,37,5,65
c787,27,37,10,65
c788,18,37,18,65
c798,34,37,23,65
c800,29,37,15,65
c801,25,37,14,65
c826,26,37,27,65
c831,29,37,14,65
c833,32,37,37,65
c841,24,37,30,65
c849,21,37,33,65
c851,20,37,36,65
c861,21,37,10,65
c862,4,37,10,65
c864,9,37,23,65
c874,12,37,14,65
c879,40,37,40,65
c880,18,37,25,65
c885,10,37,18,65
c894,10,37,19,65
c895,9,37,3,65
c896,38,37,25,65
c899,25,37,18,65
c904,28,37,7,65
c911,39,37,19,65
c912,21,37,40,65
c913,2,37,16,65
c914,36,37,31,65
c924,32,37,33,65
c940,14,37,5,65
c963,29,37,5,65
c970,12,37,21,65
c975,9,37,4,65
