s0,75,61,85
c661,10,28,12,5
c684,13,28,4,5
c686,26,28,40,5
c688,15,28,31,5
c694,40,28,37,5
c697,25,28,37,5
c700,12,28,38,5
c718,32,28,6,5
c731,15,28,5,5
c744,16,28,5,5
c753,14,28,10,5
c755,30,28,37,5
c765,36,28,11,5
c768,33,28,32,5
c769,10,28,40,5
c776,33,28,22,5
c778,29,28,5,5
c789,4,28,11,5
c793,35,28,1,5
c806,6,28,8,5
c810,26,28,23,5
c813,33,28,19,5
c820,4,28,26,5
c823,1,28,24,5
c825,26,28,6,5
c836,31,28,31,5
c838,26,28,15,5
c841,40,28,10,5
c845,36,28,24,5
c848,23,28,11,5
c850,8,28,40,5
c858,27,28,21,5
c865,9,28,20,5
c866,24,28,37,5
c886,33,28,23,5
c887,23,28,23,5
c890,37,28,26,5
c909,40,28,25,5
c914,18,28,35,5
c922,4,28,26,5
c935,18,28,17,5
c955,4,28,31,5
c963,7,28,33,5
c969,25,28,23,5
c971,10,28,15,5
c980,18,28,29,5
c981,6,28,29,5
c993,2,28,35,5
c997,24,28,16,5
c1,7,28,10,6
c6,4,28,31,6
c17,18,28,19,6
c23,4,28,35,6
c27,3,28,35,6
c30,21,28,35,6
c38,38,28,14,6
c42,6,28,39,6
c55,3,28,38,6
c74,6,28,8,6
c84,11,28,2,6
c89,4,28,11,6
c101,34,28,8,6
c108,29,28,3,6
c112,24,28,23,6
c116,12,28,32,6
c122,32,28,18,6
c134,16,28,12,6
c142,14,28,28,6
c145,8,28,31,6
c161,32,28,7,6
c162,7,28,6,6
c174,9,28,21,6
c176,38,28,1,6
c180,14,28,15,6
c184,35,28,22,6
c188,7,28,27,6
c194,38,28,30,6
c197,20,28,17,6
c202,31,28,24,6
c209,13,28,3,6
c218,9,28,33,6
c225,17,28,24,6
c226,39,28,31,6
c232,16,28,30,6
c243,33,28,17,6
c250,1,28,21,6
c268,3,28,1,6
c272,36,28,38,6
c278,39,28,12,6
c284,16,28,13,6
c288,17,28,3,6
c295,34,28,7,6
s1,89,56,88
c296,17,28,7,6
c303,21,28,10,6
c305,28,28,17,6
c307,17,28,38,6
c315,3,28,34,6
c317,6,28,31,6
c321,20,28,35,6
c333,21,28,11,6
c353,29,28,36,6
c372,19,28,21,6
c378,4,28,30,6
c380,21,28,34,6
c386,35,28,37,6
c397,28,28,15,6
c404,11,28,5,6
c409,23,28,34,6
c417,40,28,23,6
c427,40,28,23,6
c448,14,28,28,6
c453,19,28,25,6
c466,39,28,39,6
c476,11,28,19,6
c479,15,28,15,6
c480,9,28,17,6
c486,12,28,4,6
c494,25,28,25,6
c513,16,28,20,6
c522,26,28,14,6
c534,5,28,5,6
c537,31,28,33,6
c539,26,28,26,6
c541,13,28,16,6
c548,7,28,35,6
c556,37,28,30,6
c557,33,28,18,6
c570,23,28,3,6
c580,18,28,36,6
c588,13,28,12,6
c594,22,28,38,6
c598,24,28,11,6
c600,22,28,21,6
c606,11,28,21,6
c614,14,28,37,6
c617,12,28,9,6
c620,29,28,11,6
c630,40,28,19,6
c638,15,28,28,6
c643,18,28,31,6
c650,40,28,39,6
c659,2,28,7,6
c663,37,28,10,6
c665,27,28,20,6
c678,25,28,20,6
c680,3,28,15,6
c685,7,28,30,6
c691,38,28,17,6
c695,19,28,27,6
c696,39,28,29,6
c713,5,28,35,6
c717,6,28,24,6
c730,35,28,9,6
c742,7,28,24,6
c746,33,28,10,6
c749,35,28,19,6
c750,10,28,10,6
c762,5,28,39,6
c782,7,28,11,6
c783,16,28,28,6
c785,37,28,10,6
c796,9,28,40,6
c798,33,28,35,6
c805,10,28,13,6
c833,38,28,1,6
c853,25,28,40,6
c859,18,28,26,6
c862,5,28,31,6
c870,11,28,5,6
c872,13,28,19,6
c875,1,28,17,6
c879,37,28,31,6
c880,26,28,27,6
s5,58,78,69
c881,14,28,8,6
c897,33,28,33,6
c900,3,28,40,6
c903,13,28,40,6
c912,18,28,19,6
c917,26,28,7,6
c921,37,28,34,6
c924,18,28,15,6
c933,40,28,30,6
c934,18,28,36,6
c944,13,28,32,6
c948,36,28,36,6
c957,8,28,38,6
c973,29,28,22,6
c974,28,28,29,6
c986,37,28,37,6
c7,10,28,3,52
c14,1,28,9,52
c32,11,28,4,52
c43,24,28,30,52
c47,28,28,4,52
c67,35,28,23,52
c70,26,28,26,52
c72,1,28,2,52
c79,1,28,20,52
c83,29,28,7,52
c92,35,28,18,52
c96,4,28,22,52
c102,15,28,10,52
c114,13,28,18,52
c120,14,28,9,52
c123,18,28,28,52
c125,34,28,12,52
c126,4,28,3,52
c127,5,28,12,52
c133,40,28,39,52
c138,19,28,40,52
c150,20,28,6,52
c151,8,28,38,52
c154,40,28,3,52
c166,25,28,13,52
c172,14,28,9,52
c182,17,28,5,52
c221,28,28,11,52
c223,38,28,19,52
c224,24,28,30,52
c227,12,28,10,52
c240,11,28,17,52
c246,11,28,30,52
c248,1,28,2,52
c251,18,28,28,52
c255,27,28,12,52
c289,14,28,27,52
c292,18,28,10,52
c300,26,28,40,52
c308,30,28,39,52
c311,10,28,33,52
c312,13,28,33,52
c316,36,28,2,52
c334,24,28,34,52
c340,14,28,21,52
c365,5,28,36,52
c367,16,28,10,52
c369,13,28,15,52
c370,35,28,20,52
c373,17,28,10,52
c379,29,28,4,52
c383,13,28,31,52
c384,26,28,11,52
c388,28,28,26,52
c390,27,28,32,52
c391,27,28,4,52
c395,35,28,3,52
c398,28,28,31,52
c408,22,28,25,52
c410,4,28,34,52
c414,2,28,35,52
c429,1,28,7,52
c439,18,28,13,52
c444,34,28,28,52
c445,31,28,12,52
c447,9,28,18,52
c449,14,28,4,52
c462,17,28,39,52
c474,26,28,16,52
c481,27,28,11,52
c483,19,28,21,52
c485,26,28,29,52
c487,13,28,22,52
c492,38,28,27,52
c500,29,28,16,52
c503,26,28,16,52
c506,1,28,6,52
c516,19,28,26,52
c523,5,28,17,52
c532,22,28,37,52
c536,4,28,16,52
c540,24,28,16,52
c542,10,28,17,52
c547,36,28,19,52
c549,6,28,36,52
c551,14,28,14,52
c563,25,28,16,52
c573,39,28,40,52
c577,36,28,5,52
c579,3,28,31,52
c581,25,28,37,52
c584,3,28,14,52
c585,26,28,25,52
c586,23,28,10,52
c589,1,28,18,52
c597,35,28,26,52
c603,31,28,2,52
c616,29,28,30,52
c623,26,28,34,52
c646,20,28,33,52
c649,11,28,31,52
c651,38,28,2,52
c682,30,28,39,52
c687,22,28,36,52
c690,2,28,21,52
c715,27,28,14,52
c728,28,28,4,52
c738,26,28,13,52
c741,7,28,37,52
c745,29,28,2,52
c748,10,28,22,52
c751,31,28,16,52
c760,9,28,21,52
c761,18,28,8,52
c770,6,28,14,52
c774,7,28,32,52
c775,34,28,3,52
c777,37,28,38,52
c788,8,28,22,52
c790,28,28,8,52
c792,14,28,40,52
c799,36,28,38,52
c803,16,28,26,52
c811,24,28,21,52
c814,20,28,27,52
c818,21,28,11,52
c824,29,28,27,52
c827,18,28,22,52
c829,31,28,18,52
c832,11,28,36,52
c835,33,28,32,52
c839,40,28,35,52
c840,4,28,23,52
c867,26,28,36,52
c889,19,28,33,52
c894,16,28,11,52
c895,29,28,35,52
c899,25,28,12,52
c913,25,28,8,52
c928,29,28,11,52
c929,13,28,7,52
c930,12,28,23,52
c936,7,28,25,52
c953,22,28,23,52
c962,17,28,5,52
c970,9,28,22,52
c982,14,28,16,52
c988,36,28,35,52
c990,36,28,9,52
c991,3,28,33,52
c992,7,28,8,52
c999,3,28,39,52
c2,19,28,1,60
c11,23,28,17,60
c18,11,28,10,60
c24,14,28,9,60
c26,20,28,14,60
c36,20,28,1,60
c39,18,28,21,60
c46,12,28,29,60
c49,4,28,25,60
c56,17,28,15,60
c59,26,28,34,60
c61,18,28,6,60
c66,4,28,39,60
c78,1,28,20,60
c91,21,28,24,60
c94,32,28,23,60
c107,1,28,40,60
c118,21,28,27,60
c119,9,28,4,60
c132,38,28,33,60
c139,19,28,39,60
c148,4,28,10,60
c159,34,28,23,60
c170,24,28,1,60
c171,38,28,11,60
c173,15,28,12,60
c178,38,28,23,60
c185,18,28,17,60
c203,40,28,12,60
c213,34,28,23,60
c229,13,28,15,60
c254,17,28,40,60
c256,4,28,32,60
c263,23,28,13,60
c265,6,28,17,60
c269,16,28,19,60
c276,11,28,33,60
c280,2,28,2,60
c287,3,28,16,60
c290,38,28,32,60
c291,2,28,24,60
c302,14,28,24,60
c339,34,28,16,60
c343,36,28,28,60
c346,9,28,35,60
c347,15,28,5,60
c351,25,28,21,60
c352,31,28,17,60
c360,35,28,33,60
c361,37,28,28,60
c374,3,28,35,60
c382,5,28,12,60
c402,30,28,37,60
c416,18,28,32,60
c425,17,28,2,60
c432,10,28,22,60
c434,13,28,37,60
s9,83,76,64
c436,7,28,17,60
c442,39,28,26,60
c452,34,28,28,60
c458,33,28,39,60
c459,38,28,16,60
c463,3,28,16,60
c478,9,28,28,60
c488,24,28,23,60
c490,2,28,38,60
c491,7,28,39,60
c521,13,28,25,60
c524,8,28,17,60
c529,3,28,14,60
c530,23,28,29,60
c550,8,28,14,60
c554,37,28,26,60
c555,27,28,21,60
c566,31,28,31,60
c569,33,28,27,60
c571,39,28,32,60
c596,12,28,8,60
c604,1,28,9,60
c615,15,28,17,60
c622,19,28,12,60
c625,40,28,26,60
c628,2,28,10,60
c633,7,28,40,60
c645,7,28,30,60
c653,23,28,1,60
c673,4,28,8,60
c675,33,28,7,60
c676,39,28,36,60
c707,15,28,26,60
c711,3,28,37,60
c712,27,28,30,60
c714,16,28,36,60
c716,1,28,16,60
c724,40,28,11,60
c725,2,28,7,60
c729,8,28,7,60
c734,22,28,17,60
c735,8,28,18,60
c754,37,28,21,60
c766,5,28,28,60
c771,15,28,7,60
c773,30,28,2,60
c781,24,28,3,60
c800,15,28,29,60
c816,39,28,6,60
c828,20,28,25,60
c830,24,28,20,60
c834,30,28,33,60
c837,18,28,31,60
c843,37,28,37,60
c844,5,28,25,60
c849,21,28,33,60
c851,30,28,14,60
c852,25,28,27,60
c854,29,28,1,60
c860,38,28,2,60
c861,29,28,22,60
c874,6,28,8,60
c882,13,28,38,60
c883,38,28,26,60
c884,3,28,34,60
c901,11,28,22,60
c906,22,28,30,60
c908,4,28,14,60
c915,24,28,2,60
c923,13,28,24,60
c940,33,28,28,60
c941,16,28,12,60
c943,7,28,10,60
c946,24,28,17,60
c947,26,28,16,60
c949,35,28,26,60
c951,19,28,36,60
c952,7,28,12,60
c961,23,28,28,60
c964,14,28,38,60
c968,24,28,22,60
c972,37,28,21,60
c975,27,28,14,60
c977,20,28,35,60
c978,24,28,19,60
c979,29,28,16,60
c989,23,28,11,60
c995,28,28,13,60
c4,18,28,13,64
c15,23,28,28,64
c16,13,28,14,64
c22,17,28,26,64
c45,3,28,29,64
c50,34,28,27,64
c57,12,28,14,64
c73,32,28,34,64
c81,26,28,2,64
c88,39,28,9,64
s3,72,86,56
c95,2,28,18,64
c98,28,28,14,64
c99,30,28,4,64
c103,37,28,12,64
c106,15,28,12,64
c111,32,28,17,64
c115,10,28,1,64
c130,29,28,32,64
c137,14,28,11,64
c140,20,28,32,64
c141,8,28,7,64
c144,19,28,1,64
c146,15,28,40,64
c156,32,28,38,64
c181,8,28,35,64
c186,33,28,11,64
c190,29,28,19,64
c191,7,28,32,64
c198,26,28,6,64
c204,6,28,36,64
c205,36,28,3,64
c206,23,28,11,64
c210,33,28,8,64
c214,25,28,13,64
c219,8,28,24,64
c220,5,28,29,64
c228,1,28,36,64
c231,16,28,21,64
c236,15,28,32,64
c242,1,28,23,64
c244,10,28,23,64
c252,25,28,30,64
c260,9,28,11,64
c264,20,28,8,64
c270,36,28,26,64
c275,9,28,27,64
c281,19,28,9,64
c283,25,28,30,64
c285,37,28,36,64
c310,40,28,28,64
c322,7,28,21,64
c324,24,28,35,64
c325,36,28,11,64
c338,1,28,9,64
c341,11,28,35,64
c348,36,28,26,64
c357,23,28,37,64
c371,35,28,6,64
c377,17,28,26,64
c385,34,28,38,64
c393,33,28,11,64
c394,35,28,30,64
c396,25,28,26,64
c411,18,28,40,64
c415,5,28,8,64
c420,7,28,22,64
c421,37,28,29,64
c424,17,28,8,64
c431,34,28,24,64
c433,13,28,11,64
c443,32,28,2,64
c446,16,28,25,64
c455,28,28,14,64
c464,6,28,11,64
c477,16,28,40,64
c495,31,28,39,64
c501,19,28,1,64
c502,31,28,18,64
c505,10,28,19,64
c514,21,28,16,64
c518,31,28,2,64
c533,23,28,23,64
c552,5,28,11,64
c559,27,28,33,64
c560,4,28,39,64
c564,16,28,40,64
c568,21,28,21,64
c575,24,28,5,64
c592,33,28,29,64
c601,3,28,5,64
c605,4,28,7,64
c609,3,28,15,64
c618,21,28,22,64
c621,20,28,22,64
c637,16,28,16,64
c668,14,28,16,64
c670,4,28,27,64
c672,15,28,6,64
c679,18,28,39,64
c681,39,28,7,64
c683,10,28,19,64
c689,28,28,5,64
c701,12,28,34,64
c703,28,28,5,64
c708,11,28,23,64
c727,2,28,9,64
c732,14,28,11,64
c736,30,28,30,64
c737,40,28,24,64
c743,31,28,32,64
c747,4,28,39,64
c757,15,28,14,64
c759,34,28,14,64
c763,29,28,10,64
c791,2,28,40,64
c795,8,28,28,64
c797,40,28,39,64
c804,33,28,9,64
c807,22,28,19,64
c812,16,28,10,64
c815,11,28,11,64
c822,29,28,26,64
c831,32,28,33,64
c842,21,28,17,64
c857,2,28,16,64
c864,14,28,4,64
c878,3,28,11,64
c893,20,28,15,64
c896,32,28,39,64
c898,26,28,12,64
c919,34,28,8,64
c925,34,28,10,64
c931,13,28,4,64
c945,9,28,36,64
c954,40,28,3,64
c965,17,28,13,64
c966,29,28,25,64
c984,10,28,5,64
c0,7,28,1,69
c3,5,28,14,69
c5,13,28,30,69
c8,19,28,5,69
c9,31,28,23,69
c19,17,28,38,69
c20,2,28,18,69
c21,9,28,4,69
c28,15,28,13,69
c31,23,28,40,69
c35,38,28,27,69
c40,34,28,16,69
c58,9,28,14,69
c60,19,28,18,69
c64,24,28,22,69
c86,19,28,26,69
c87,9,28,13,69
c105,14,28,5,69
c110,10,28,3,69
c113,27,28,14,69
c117,1,28,20,69
c124,6,28,36,69
c136,24,28,37,69
c152,2,28,17,69
c155,35,28,28,69
c157,26,28,13,69
c158,4,28,11,69
c163,33,28,12,69
c164,4,28,3,69
c169,17,28,34,69
c179,4,28,36,69
c189,28,28,30,69
c192,36,28,33,69
c193,10,28,9,69
c195,4,28,2,69
c201,38,28,32,69
c211,1,28,27,69
c237,33,28,40,69
c238,2,28,34,69
c267,13,28,9,69
c299,31,28,16,69
c313,1,28,18,69
c318,22,28,23,69
c323,8,28,30,69
c330,37,28,2,69
c335,1,28,35,69
c336,23,28,14,69
c345,6,28,27,69
c356,3,28,8,69
c364,4,28,14,69
c366,40,28,8,69
c381,30,28,15,69
c405,4,28,25,69
c407,13,28,29,69
c413,9,28,27,69
c430,20,28,12,69
c437,33,28,37,69
c441,27,28,11,69
c454,24,28,2,69
c457,40,28,26,69
c465,29,28,16,69
c467,13,28,8,69
c471,25,28,25,69
c473,23,28,24,69
c482,30,28,16,69
s8,68,100,76
c484,7,28,3,69
c493,31,28,22,69
c497,25,28,22,69
c499,27,28,37,69
c507,9,28,2,69
c515,17,28,7,69
c517,17,28,22,69
c519,32,28,25,69
c526,1,28,33,69
c535,32,28,40,69
c546,15,28,5,69
c553,7,28,27,69
c567,17,28,10,69
c574,14,28,33,69
c582,4,28,14,69
c583,9,28,28,69
c587,36,28,32,69
c593,29,28,37,69
c599,37,28,2,69
c610,36,28,15,69
c611,7,28,17,69
c619,5,28,5,69
c627,20,28,38,69
c632,26,28,10,69
c636,33,28,10,69
c639,27,28,2,69
c640,23,28,12,69
c641,6,28,40,69
c652,26,28,15,69
c660,33,28,33,69
c662,38,28,24,69
c664,9,28,9,69
c666,6,28,26,69
c669,25,28,17,69
c671,30,28,35,69
c677,17,28,14,69
c692,6,28,1,69
c693,9,28,40,69
c699,25,28,5,69
c709,23,28,6,69
c719,30,28,12,69
c720,38,28,15,69
c721,20,28,31,69
c722,2,28,38,69
c723,4,28,24,69
c726,11,28,34,69
c740,30,28,40,69
c752,33,28,31,69
c756,24,28,15,69
c764,12,28,12,69
c780,36,28,23,69
c786,30,28,39,69
c794,34,28,25,69
c808,18,28,1,69
c817,2,28,25,69
c819,26,28,4,69
c855,17,28,23,69
c863,40,28,30,69
c869,23,28,40,69
c871,2,28,33,69
c873,17,28,16,69
c902,5,28,29,69
c904,33,28,8,69
c907,37,28,35,69
c910,4,28,27,69
c911,24,28,33,69
c918,25,28,3,69
c920,7,28,15,69
c926,33,28,18,69
c937,27,28,36,69
c938,9,28,11,69
c942,7,28,26,69
c960,39,28,21,69
c967,1,28,10,69
c985,12,28,28,69
c987,24,28,5,69
c994,29,28,4,69
c996,27,28,7,69
c998,35,28,26,69
